Combo,Weight,EV
6h5s3s2s,3.1970342760765445E-15,-54000.00000000014
8h5s3s2s,3.5344386762061493E-17,-53999.99999999998
Jh5s3s2s,6.145214508862268E-16,-53999.999999999316
6d5s3s2s,3.1970342760765445E-15,-54000.00000000014
8d5s3s2s,3.5344386762061493E-17,-53999.99999999998
Jd5s3s2s,6.145214508862268E-16,-53999.999999999316
6c5s3s2s,3.1970342760765445E-15,-54000.00000000014
8c5s3s2s,3.5344386762061493E-17,-53999.99999999998
Jc5s3s2s,6.145214508862268E-16,-53999.999999999316
7s3h3s2s,6.42338539461805E-16,-54000.000000000146
Kh7s3s2s,5.045812682442821E-16,-53999.99999999976
7s3d3s2s,6.42338539461805E-16,-54000.000000000146
Kd7s3s2s,5.045812682442821E-16,-53999.99999999976
7s3c3s2s,6.42338539461805E-16,-54000.000000000146
Kc7s3s2s,5.045812682442821E-16,-53999.99999999976
Js8s3s2s,8.308376417178614E-15,-53999.999999999854
Ks9s3s2s,9.9751165036643E-15,-53999.99999999963
As9s3s2s,1.3005514330451793E-14,-53999.9999999999
Ts8h3s2s,1.8427519847523066E-16,-53999.99999999986
Ts8d3s2s,1.8427519847523066E-16,-53999.99999999986
Ts8c3s2s,1.8427519847523066E-16,-53999.99999999986
QsJs3s2s,2.8622132070758964E-15,-54000.000000000175
AsJs3s2s,2.0226992271486498E-14,-53999.9999999999
Js8h3s2s,1.250738767620747E-15,-53999.999999999905
Js8d3s2s,1.250738767620747E-15,-53999.999999999905
Js8c3s2s,1.250738767620747E-15,-53999.999999999905
Qs3s2h2s,8.930275588533249E-16,-54000.00000000052
Qs6h3s2s,5.708309125175171E-17,-53999.999999999476
Qs3s2d2s,8.930275588533249E-16,-54000.00000000052
Qs6d3s2s,5.708309125175171E-17,-53999.999999999476
Qs3s2c2s,8.930275588533249E-16,-54000.00000000052
Qs6c3s2s,5.708309125175171E-17,-53999.999999999476
Ks8h3s2s,2.756432336469312E-17,-54000.00000000011
Ks8d3s2s,2.756432336469312E-17,-54000.00000000011
Ks8c3s2s,2.756432336469312E-17,-54000.00000000011
As3h3s2s,5.48724199194353E-16,-53999.99999999962
AsTh3s2s,1.6333203324184192E-16,-54000.00000000011
As3d3s2s,5.48724199194353E-16,-53999.99999999962
AsTd3s2s,1.6333203324184192E-16,-54000.00000000011
As3c3s2s,5.48724199194353E-16,-53999.99999999962
AsTc3s2s,1.6333203324184192E-16,-54000.00000000011
3h3s2h2s,1.1804058408879586E-14,-54000.000000000706
Jh3s2h2s,7.505418178071234E-18,-54000.00000000011
Td3s2h2s,5.85565348163954E-17,-53999.99999999997
Tc3s2h2s,5.85565348163954E-17,-53999.99999999997
8h3h3s2s,1.4388925869760964E-16,-54000.0000000001
Qh3h3s2s,9.032431797932392E-17,-54000.00000000024
Qh4h3s2s,3.8207485472733045E-16,-53999.999999999614
Jd4h3s2s,8.7435167486486E-17,-53999.99999999957
Jc4h3s2s,8.7435167486486E-17,-53999.99999999957
6h5h3s2s,5.378599280492439E-18,-54000.00000000003
Jh6h3s2s,6.484542930160975E-16,-53999.99999999995
Jd6h3s2s,5.331652351559495E-17,-53999.999999999854
Jc6h3s2s,5.331652351559495E-17,-53999.999999999854
Jh7h3s2s,1.1459055795110119E-15,-54000.00000000015
Kh7h3s2s,4.2336563899433114E-16,-54000.00000000044
Jh8h3s2s,2.019449378681812E-15,-53999.999999999935
Td8h3s2s,2.4222496194613813E-17,-53999.999999999854
Tc8h3s2s,2.4222496194613813E-17,-53999.999999999854
Th9h3s2s,3.5602188346722967E-16,-53999.99999999971
Ad9h3s2s,8.555417782737906E-18,-53999.999999999956
